datetime,price,signal,proposal,proposal_reason,decision,decision_reason,qty,executed,equity,pnl,drawdown
2025-04-07 19:15:00+00:00,1.57,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 19:30:00+00:00,1.605,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 19:45:00+00:00,1.64,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 20:00:00+00:00,1.635,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 13:30:00+00:00,1.68,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 13:45:00+00:00,1.6352,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 14:00:00+00:00,1.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 14:15:00+00:00,1.63,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 14:30:00+00:00,1.645,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 14:45:00+00:00,1.6336,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 15:00:00+00:00,1.635,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 15:15:00+00:00,1.635,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 15:30:00+00:00,1.635,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-08 15:45:00+00:00,1.65,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-04-08 16:00:00+00:00,1.63,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-08 16:15:00+00:00,1.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 16:30:00+00:00,1.61,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 16:45:00+00:00,1.6,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 17:00:00+00:00,1.571,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-08 17:15:00+00:00,1.55,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 17:30:00+00:00,1.54,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 17:45:00+00:00,1.555,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 18:00:00+00:00,1.545,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 18:15:00+00:00,1.54,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 18:30:00+00:00,1.55,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 18:45:00+00:00,1.5486,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 19:00:00+00:00,1.54,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 19:15:00+00:00,1.5201,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 19:30:00+00:00,1.52,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 19:45:00+00:00,1.53,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-08 20:00:00+00:00,1.53,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 13:30:00+00:00,1.55,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 13:45:00+00:00,1.6,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 14:00:00+00:00,1.625,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 14:15:00+00:00,1.6,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 14:30:00+00:00,1.6042,buy,buy,trend_buy,buy,weak_trend_limited_buy,50,False,0.0,0.0,0.0
2025-04-09 14:45:00+00:00,1.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 15:00:00+00:00,1.57,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 15:15:00+00:00,1.59,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 15:30:00+00:00,1.615,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 15:45:00+00:00,1.5971,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 16:00:00+00:00,1.55,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 16:15:00+00:00,1.53,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 16:30:00+00:00,1.54,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 16:45:00+00:00,1.545,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-09 17:00:00+00:00,1.56,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
